pregunta,emocion,intencion,nivel_emocional,recomendacion
a veces me tiembla el cuerpo cuando debo exponer y no quiero sentirme asi,ANSIEDAD,preocupacion_academica,LEVE,Registrar alerta si la ansiedad es frecuente o interfiere con el rendimiento escolar.
en la tarde me preocupa que mis compañeros se rian y quiero estar mejor,MIEDO,buscar_seguridad,ALTO,"Brindar contención, recomendar acudir a un adulto de confianza y priorizar seguridad."
hoy quiero desaparecer y me cuesta concentrarme,RIESGO_EMOCIONAL,pedido_ayuda_urgente,CRITICO,Registrar seguimiento inmediato y no dejar al estudiante sin acompañamiento.
la verdad quiero saber como revisar mis notas,NEUTRAL,despedida,ESTABLE,Brindar información breve y preguntar si necesita algo más.
no se como organizar mis tareas con mi familia en serio necesito apoyo,ESTRES,expresar_estres,LEVE,"Registrar seguimiento si el estrés se mantiene o afecta sueño, ánimo o concentración."
cuando llego a casa no soporto que me traten mal y no se que hacer,ENOJO,conflicto_companeros,MODERADO,"Validar el enojo, recomendar calmarse antes de responder y buscar diálogo respetuoso."
a veces siento miedo cuando camino solo porque me afecta bastante,MIEDO,expresar_miedo,MODERADO,"Registrar alerta si el miedo se relaciona con acoso, violencia o riesgo de seguridad."
desde ayer hoy no quiero hablar con nadie con mis compañeros y quiero mejorar,TRISTEZA,expresar_tristeza,MODERADO,"Responder con empatía, validar la emoción y sugerir hablar con el área de psicología si continúa."
la verdad gracias por la ayuda pero no se como explicarlo,NEUTRAL,saludo,ESTABLE,Brindar información breve y preguntar si necesita algo más.
ultimamente estoy contento porque mejore mis notas cuando tengo tareas,FELICIDAD,expresar_bienestar,LEVE,Felicitar al estudiante y sugerir que conserve esa actitud positiva.
en el colegio siento miedo cuando camino solo cuando tengo tareas,MIEDO,temor_familiar,ALTO,"Registrar alerta si el miedo se relaciona con acoso, violencia o riesgo de seguridad."
cuando llego a casa me molesta que se burlen de mi porque me afecta bastante,ENOJO,expresar_enojo,MODERADO,"Registrar seguimiento si el enojo genera peleas, amenazas o pérdida de control."
cuando llego a casa tengo una pregunta sobre el colegio con mis compañeros en serio necesito apoyo,NEUTRAL,consulta_general,ESTABLE,"Mantener una respuesta clara, amable y de acompañamiento."
desde ayer siento mucha pena por lo que paso demasiado puedes ayudarme,TRISTEZA,desahogo_emocional,MODERADO,Registrar seguimiento y sugerir orientación psicológica si la tristeza afecta sus actividades.
en el colegio necesito ayuda urgente puedes ayudarme,RIESGO_EMOCIONAL,crisis_emocional,CRITICO,Registrar seguimiento inmediato y no dejar al estudiante sin acompañamiento.
en las mañanas me da miedo equivocarme al exponer que puedo hacer,MIEDO,temor_bullying,MODERADO,Sugerir comunicar la situación al área correspondiente si hay amenaza o intimidación.
ultimamente estoy contento porque mejore mis notas en serio necesito apoyo,FELICIDAD,motivacion_positiva,ESTABLE,Responder con reconocimiento emocional y continuar acompañando.
por favor ya no quiero seguir viviendo porque me afecta bastante,RIESGO_EMOCIONAL,desesperanza_grave,CRITICO,Registrar seguimiento inmediato y no dejar al estudiante sin acompañamiento.
esta semana estoy estresado por tantas tareas durante clases y no quiero sentirme asi,ESTRES,organizacion_estudio,ALTO,"Registrar seguimiento si el estrés se mantiene o afecta sueño, ánimo o concentración."
estoy orgulloso de mi avance me preocupa mucho,FELICIDAD,agradecimiento,ESTABLE,Reforzar positivamente el logro y motivar a mantener hábitos saludables.
necesito decir que estoy enojado con mis compañeros y me cuesta concentrarme,ENOJO,frustracion,MODERADO,"Validar el enojo, recomendar calmarse antes de responder y buscar diálogo respetuoso."
ultimamente ya no quiero seguir viviendo durante clases por eso busco ayuda,RIESGO_EMOCIONAL,pedido_ayuda_urgente,CRITICO,Priorizar seguridad del estudiante y derivar de forma urgente al área de psicología.
por favor siento mucha frustracion durante clases,ENOJO,frustracion,MODERADO,"Registrar seguimiento si el enojo genera peleas, amenazas o pérdida de control."
por favor me preocupa no entregar todo cada dia mas pero no se como explicarlo,ESTRES,expresar_estres,LEVE,"Recomendar organizar actividades, priorizar tareas y tomar pausas breves."
me siento motivado para estudiar me preocupa mucho,FELICIDAD,expresar_bienestar,ESTABLE,Responder con reconocimiento emocional y continuar acompañando.
a veces perdi las ganas de esforzarme mucho necesito orientacion,DESMOTIVACION,falta_interes,MODERADO,"Motivar con metas pequeñas, reconocer avances y sugerir apoyo académico."
en las mañanas ya no puedo concentrarme por el estres cuando tengo tareas en serio necesito apoyo,ESTRES,sobrecarga_academica,MODERADO,"Recomendar organizar actividades, priorizar tareas y tomar pausas breves."
desde hace dias hola con mi familia necesito orientacion,NEUTRAL,consulta_general,ESTABLE,"Mantener una respuesta clara, amable y de acompañamiento."
en la tarde necesito hacer una consulta y quiero estar mejor,NEUTRAL,consulta_general,ESTABLE,"Mantener una respuesta clara, amable y de acompañamiento."
hoy no quiero hablar con nadie,TRISTEZA,buscar_apoyo,LEVE,"Responder con empatía, validar la emoción y sugerir hablar con el área de psicología si continúa."
a veces ya no disfruto venir a clases,TRISTEZA,desahogo_emocional,ALTO,Registrar seguimiento y sugerir orientación psicológica si la tristeza afecta sus actividades.
por favor me enoje con un profesor sin decirle a nadie,ENOJO,frustracion,ALTO,"Validar el enojo, recomendar calmarse antes de responder y buscar diálogo respetuoso."
desde ayer me siento agotado por las clases cuando tengo que exponer,ESTRES,sobrecarga_academica,MODERADO,"Registrar seguimiento si el estrés se mantiene o afecta sueño, ánimo o concentración."
esta semana siento nervios cada vez que entro a clases y me cuesta concentrarme,ANSIEDAD,preocupacion_academica,LEVE,"Sugerir respiración lenta, ordenar prioridades y solicitar apoyo si la ansiedad aumenta."
por favor siento que no puedo controlar mi preocupacion cuando tengo tareas puedes ayudarme,ANSIEDAD,preocupacion_academica,LEVE,Validar la preocupación y recomendar dividir tareas en pasos pequeños.
necesito decir que tengo pensamientos muy oscuros,RIESGO_EMOCIONAL,pedido_ayuda_urgente,ALTO,"Activar alerta crítica, recomendar contacto inmediato con psicología y un adulto responsable."
por favor quiero mejorar pero no tengo fuerzas y quiero mejorar,DESMOTIVACION,buscar_motivacion,ALTO,Recomendar establecer una rutina breve de estudio y conversar con un tutor.
a veces no puedo dormir por pensar en el examen bastante,ANSIEDAD,preocupacion_academica,LEVE,"Sugerir respiración lenta, ordenar prioridades y solicitar apoyo si la ansiedad aumenta."
por favor tengo miedo de ir al colegio cuando tengo que exponer necesito orientacion,MIEDO,buscar_seguridad,MODERADO,"Brindar contención, recomendar acudir a un adulto de confianza y priorizar seguridad."
desde ayer no encuentro sentido a estudiar me gustaria hablar con alguien,DESMOTIVACION,buscar_motivacion,LEVE,Recomendar establecer una rutina breve de estudio y conversar con un tutor.
desde ayer tengo miedo de ir al colegio,MIEDO,temor_bullying,MODERADO,"Registrar alerta si el miedo se relaciona con acoso, violencia o riesgo de seguridad."
siento que nadie me entiende un poco porque me afecta bastante,TRISTEZA,desahogo_emocional,MODERADO,Brindar contención emocional y recomendar apoyo de un adulto de confianza.
hoy siento mucha frustracion,ENOJO,expresar_enojo,MODERADO,"Registrar seguimiento si el enojo genera peleas, amenazas o pérdida de control."
hoy me da temor hablar con mi profesor con mi familia pero no se como explicarlo,MIEDO,expresar_miedo,LEVE,"Brindar contención, recomendar acudir a un adulto de confianza y priorizar seguridad."
en el colegio estoy estresado por tantas tareas y no se que hacer,ESTRES,expresar_estres,LEVE,"Registrar seguimiento si el estrés se mantiene o afecta sueño, ánimo o concentración."
ultimamente tengo demasiados trabajos acumulados,ESTRES,sobrecarga_academica,LEVE,"Recomendar organizar actividades, priorizar tareas y tomar pausas breves."
por favor tengo miedo de reprobar puedes ayudarme,ANSIEDAD,preocupacion_academica,ALTO,Registrar alerta si la ansiedad es frecuente o interfiere con el rendimiento escolar.
cuando llego a casa puedes ayudarme con una duda y no quiero sentirme asi,NEUTRAL,consulta_general,ESTABLE,Responder con orientación general y continuar la conversación.
tengo rabia por lo que paso en clase,ENOJO,frustracion,LEVE,"Validar el enojo, recomendar calmarse antes de responder y buscar diálogo respetuoso."
cuando llego a casa quiero lastimarme,RIESGO_EMOCIONAL,desesperanza_grave,CRITICO,"Activar alerta crítica, recomendar contacto inmediato con psicología y un adulto responsable."
necesito decir que estoy enojado con mis compañeros cuando tengo que exponer y quiero estar mejor,ENOJO,conflicto_companeros,ALTO,"Validar el enojo, recomendar calmarse antes de responder y buscar diálogo respetuoso."
la verdad me siento en peligro conmigo mismo,RIESGO_EMOCIONAL,riesgo_autolesion,CRITICO,Priorizar seguridad del estudiante y derivar de forma urgente al área de psicología.
hoy tuve un buen dia en clases,FELICIDAD,expresar_bienestar,ESTABLE,Felicitar al estudiante y sugerir que conserve esa actitud positiva.
esta semana siento mucha frustracion y quiero estar mejor,ENOJO,frustracion,MODERADO,"Registrar seguimiento si el enojo genera peleas, amenazas o pérdida de control."
en la tarde no quiero hacer mis tareas por eso busco ayuda,DESMOTIVACION,bajo_rendimiento,MODERADO,Recomendar establecer una rutina breve de estudio y conversar con un tutor.
hoy me preocupa no entregar todo sin decirle a nadie necesito orientacion,ESTRES,expresar_estres,MODERADO,"Recomendar organizar actividades, priorizar tareas y tomar pausas breves."
cuando estoy en clases me preocupa no entregar todo me gustaria hablar con alguien,ESTRES,expresar_estres,LEVE,"Registrar seguimiento si el estrés se mantiene o afecta sueño, ánimo o concentración."
ultimamente siento miedo cuando camino solo,MIEDO,buscar_seguridad,ALTO,"Brindar contención, recomendar acudir a un adulto de confianza y priorizar seguridad."
cuando llego a casa siento que voy a perder el control cuando tengo tareas y me cuesta concentrarme,ENOJO,frustracion,LEVE,"Validar el enojo, recomendar calmarse antes de responder y buscar diálogo respetuoso."
en la tarde tengo una pregunta sobre el colegio cuando tengo tareas que puedo hacer,NEUTRAL,duda_academica,ESTABLE,Brindar información breve y preguntar si necesita algo más.
tengo muchas obligaciones y estoy cansado necesito orientacion,ESTRES,sobrecarga_academica,MODERADO,"Recomendar organizar actividades, priorizar tareas y tomar pausas breves."
cuando llego a casa me siento triste durante clases,TRISTEZA,buscar_apoyo,MODERADO,"Responder con empatía, validar la emoción y sugerir hablar con el área de psicología si continúa."
necesito decir que siento inseguridad en el curso,MIEDO,temor_bullying,MODERADO,Sugerir comunicar la situación al área correspondiente si hay amenaza o intimidación.
desde ayer siento mucha frustracion demasiado,ENOJO,conflicto_docente,LEVE,Sugerir identificar el motivo del conflicto y pedir mediación si es necesario.
esta semana tengo una pregunta sobre el colegio me preocupa mucho,NEUTRAL,agradecimiento,ESTABLE,Brindar información breve y preguntar si necesita algo más.
en la tarde estoy enojado con mis compañeros demasiado me preocupa mucho,ENOJO,conflicto_docente,LEVE,Sugerir identificar el motivo del conflicto y pedir mediación si es necesario.
por favor perdi las ganas de esforzarme en serio necesito apoyo,DESMOTIVACION,bajo_rendimiento,LEVE,"Motivar con metas pequeñas, reconocer avances y sugerir apoyo académico."
hoy tengo una pregunta sobre el colegio cuando tengo que exponer,NEUTRAL,consulta_general,ESTABLE,Responder con orientación general y continuar la conversación.
esta semana siento miedo cuando camino solo y no quiero sentirme asi,MIEDO,temor_bullying,MODERADO,"Brindar contención, recomendar acudir a un adulto de confianza y priorizar seguridad."
en la tarde me siento triste porque me afecta bastante,TRISTEZA,desahogo_emocional,MODERADO,"Responder con empatía, validar la emoción y sugerir hablar con el área de psicología si continúa."
desde hace dias me siento solo en el colegio,TRISTEZA,desahogo_emocional,MODERADO,"Responder con empatía, validar la emoción y sugerir hablar con el área de psicología si continúa."
en la tarde me fue bien en el examen y no se que hacer,FELICIDAD,expresar_bienestar,ESTABLE,Responder con reconocimiento emocional y continuar acompañando.
necesito decir que cada vez me cuesta mas levantarme para ir al colegio,DESMOTIVACION,falta_interes,MODERADO,Recomendar establecer una rutina breve de estudio y conversar con un tutor.
hoy cada vez me cuesta mas levantarme para ir al colegio antes de dormir pero no se como explicarlo,DESMOTIVACION,bajo_rendimiento,LEVE,Recomendar establecer una rutina breve de estudio y conversar con un tutor.
esta semana estoy llorando y no se que hacer mucho porque me afecta bastante,TRISTEZA,problema_personal,MODERADO,Registrar seguimiento y sugerir orientación psicológica si la tristeza afecta sus actividades.
en las mañanas me siento agotado por las clases puedes ayudarme,ESTRES,sobrecarga_academica,MODERADO,Sugerir una planificación diaria y comunicar la sobrecarga a un docente o tutor.
en la tarde siento mucha pena por lo que paso,TRISTEZA,problema_personal,LEVE,Registrar seguimiento y sugerir orientación psicológica si la tristeza afecta sus actividades.
a veces me angustia no terminar mis trabajos bastante pero no se como explicarlo,ANSIEDAD,expresar_ansiedad,LEVE,Validar la preocupación y recomendar dividir tareas en pasos pequeños.
en las mañanas me siento desanimado con mis clases en silencio necesito orientacion,DESMOTIVACION,bajo_rendimiento,ALTO,Recomendar establecer una rutina breve de estudio y conversar con un tutor.
